ZIP,LAT,LNG,City,State
01605,42.289683, -71.787793,WORCESTER,MA
01606,42.315249, -71.795741,WORCESTER,MA
01607,42.225974, -71.788894,WORCESTER,MA
01608,42.261980, -71.801462,WORCESTER,MA
01609,42.285114, -71.829987,WORCESTER,MA
01610,42.247049, -71.808366,WORCESTER,MA
01611,42.237604, -71.875838,CHERRY VALLEY,MA
01612,42.296798, -71.928991,PAXTON,MA
01701,42.319587, -71.442800,FRAMINGHAM,MA
01702,42.282379, -71.436623,FRAMINGHAM,MA
01718,42.519818, -71.429286,VILLAGE OF NAGOG WOODS,MA
01719,42.485985, -71.520985,BOXBOROUGH,MA
01720,42.483953, -71.438495,ACTON,MA
01721,42.257755, -71.473526,ASHLAND,MA
01730,42.499332, -71.281901,BEDFORD,MA
01731,42.456754, -71.279477,HANSCOM AFB,MA
01740,42.439933, -71.601885,BOLTON,MA
01741,42.536807, -71.361324,CARLISLE,MA
01742,42.462911, -71.364496,CONCORD,MA
01745,42.292114, -71.499197,FAYVILLE,MA
01746,42.195951, -71.453430,HOLLISTON,MA
01747,42.123007, -71.531404,HOPEDALE,MA
01748,42.224096, -71.540489,HOPKINTON,MA
01749,42.389071, -71.545864,HUDSON,MA
01752,42.349617, -71.547214,MARLBOROUGH,MA
01754,42.425955, -71.456256,MAYNARD,MA
01756,42.093870, -71.544519,MENDON,MA
01757,42.158692, -71.521419,MILFORD,MA
01760,42.284822, -71.348811,NATICK,MA
01770,42.231947, -71.372963,SHERBORN,MA
01772,42.302877, -71.530828,SOUTHBOROUGH,MA
01773,42.425506, -71.310812,LINCOLN,MA
01775,42.429688, -71.512514,STOW,MA
01776,42.383367, -71.421070,SUDBURY,MA
01778,42.356275, -71.361942,WAYLAND,MA
01801,42.488703, -71.154383,WOBURN,MA
01803,42.503227, -71.201713,BURLINGTON,MA
01810,42.648044, -71.161751,ANDOVER,MA
01821,42.549330, -71.251725,BILLERICA,MA
01824,42.590790, -71.355182,CHELMSFORD,MA
01826,42.679723, -71.300680,DRACUT,MA
01827,42.676149, -71.499772,DUNSTABLE,MA
01830,42.796313, -71.053436,HAVERHILL,MA
01832,42.791114, -71.132859,HAVERHILL,MA
01833,42.726226, -70.983318,GEORGETOWN,MA
01834,42.753900, -71.015935,GROVELAND,MA
01835,42.751327, -71.094421,HAVERHILL,MA
01840,42.706763, -71.160403,LAWRENCE,MA
01841,42.712015, -71.164873,LAWRENCE,MA
01843,42.689988, -71.160390,LAWRENCE,MA
01844,42.742641, -71.178651,METHUEN,MA
01845,42.673909, -71.091334,NORTH ANDOVER,MA
01850,42.656045, -71.303309,LOWELL,MA
01851,42.627813, -71.335334,LOWELL,MA
01852,42.632978, -71.295616,LOWELL,MA
01854,42.649481, -71.348229,LOWELL,MA
01860,42.838603, -71.011997,MERRIMAC,MA
01862,42.578543, -71.295592,NORTH BILLERICA,MA
01863,42.633780, -71.389470,NORTH CHELMSFORD,MA
01864,42.578401, -71.084448,NORTH READING,MA
01867,42.535183, -71.105423,READING,MA
01876,42.611801, -71.227571,TEWKSBURY,MA
01879,42.667762, -71.428820,TYNGSBORO,MA
01880,42.501524, -71.067489,WAKEFIELD,MA
01886,42.585541, -71.440250,WESTFORD,MA
01887,42.564647, -71.164516,WILMINGTON,MA
01890,42.452752, -71.144319,WINCHESTER,MA
01901,42.460419, -70.946379,LYNN,MA
01902,42.471039, -70.941535,LYNN,MA
01904,42.492456, -70.973930,LYNN,MA
01905,42.465998, -70.975792,LYNN,MA
01906,42.468432, -71.013946,SAUGUS,MA
01907,42.474145, -70.906597,SWAMPSCOTT,MA
01908,42.428256, -70.926041,NAHANT,MA
01913,42.851293, -70.955810,AMESBURY,MA
01915,42.570665, -70.867583,BEVERLY,MA
01921,42.683108, -71.027188,BOXFORD,MA
01922,42.757313, -70.914241,BYFIELD,MA
01923,42.574174, -70.950516,DANVERS,MA
01929,42.640420, -70.771172,ESSEX,MA
01930,42.619910, -70.681824,GLOUCESTER,MA
01937,42.585723, -70.984051,HATHORNE,MA
01938,42.683860, -70.842666,IPSWICH,MA
01940,42.534146, -71.038333,LYNNFIELD,MA
01944,42.576636, -70.767154,MANCHESTER,MA
